"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"Newton";90.313;0.0325;0.1447;0.0104;0.5384;"Train";14
"C-SGD";51.114;0.0318;0.1445;0.0116;0.4747;"Train";14
"B-SGD";27.487;0.0312;0.1445;0.0119;0.4461;"Train";14
"glmPCA";500.893;0.0388;0.4944;0.0208;-0.0255;"Test";14
"NBWaVE";153.016;0.0349;0.4939;0.0145;0.5293;"Test";14
"CMF";270.878;0.0349;0.4941;0.0251;0.0236;"Test";14
"NMF";371.346;0.0356;0.4939;0.0196;0.0404;"Test";14
"NNLM";138.846;0.0332;0.4939;0.0143;0.0438;"Test";14
"AIRWLS";167.592;0.0331;0.4938;0.0173;0.525;"Test";14
"Newton";90.313;0.0331;0.4938;0.0199;0.5384;"Test";14
"C-SGD";51.114;0.0335;0.4939;0.0138;0.4747;"Test";14
"B-SGD";27.487;0.0349;0.494;0.0135;0.4461;"Test";14
"glmPCA";510.593;0.0353;0.0079;0.02;-0.0303;"Full";15
"NBWaVE";158.991;0.0303;0.0068;0.0133;0.5258;"Full";15
"CMF";266.356;0.0318;0.0071;0.014;0.0685;"Full";15
